State,District,Average Household Income (INR/year),Government Subsidy (INR),Competitor Price (INR),Battery Cost (INR),Battery Lifespan (years),Charging Infrastructure (Stations per 100 sq km),Electricity Cost (INR/kWh),Scooter Range (km per charge),Max Speed (km/h),"Loan Availability (1 = Yes, 0 = No)",Rural Road Quality (1-5 scale),Fuel Price (INR/liter)
Uttar Pradesh,Kanpur,191244.2,20000.0,89673.0,22024,6,1,4.27,116,47,0,3,107.91
Tripura,Udaipur,106347.37,10000.0,108558.0,20859,6,2,4.52,118,60,0,4,95.78
Madhya Pradesh,Indore,125429.48,10000.0,98471.0,31186,4,1,5.03,103,103,1,5,103.38
Bihar,Muzaffarpur,217324.03,15000.0,68941.0,37517,5,1,4.37,83,73,0,5,99.42
Sikkim,Gyalshing,227987.1,20000.0,88028.0,21271,3,0,4.41,146,45,1,3,97.93
Gujarat,Ahmedabad,92646.72,15000.0,80091.0,38692,6,1,7.33,90,92,1,2,99.15
Karnataka,Mangalore,162486.8,,65108.0,21141,5,1,4.51,131,83,0,2,108.02
Sikkim,Namchi,128452.81,20000.0,81409.0,27757,7,2,5.77,103,56,0,1,107.91
Telangana,Warangal,115148.43,10000.0,67892.0,25400,5,0,6.07,101,68,0,5,96.77
Bihar,Muzaffarpur,164241.98,10000.0,76865.0,27802,7,1,4.74,119,51,0,4,108.39
West Bengal,Kolkata,207048.15,15000.0,54324.0,26652,3,0,3.77,109,66,1,3,106.17
Manipur,Bishnupur,172583.12,15000.0,48556.0,15881,7,1,5.39,92,67,1,1,95.49
Andhra Pradesh,Visakhapatnam,134024.38,15000.0,70701.0,37490,4,3,7.46,62,63,1,3,106.36
Tamil Nadu,Coimbatore,,10000.0,79772.0,17571,4,0,4.64,124,68,1,5,95.23
Assam,Jorhat,132001.19,10000.0,58082.0,26552,5,0,3.52,88,76,0,1,101.82
Maharashtra,,170605.72,10000.0,82894.0,26752,4,0,6.69,96,62,1,2,98.91
Goa,,219823.29,20000.0,75641.0,32434,4,3,4.51,82,47,0,2,103.16
Nagaland,Dimapur,50000.0,20000.0,,15368,5,3,6.9,72,57,1,4,107.34
Tripura,Dharmanagar,189862.61,10000.0,89184.0,16916,6,1,4.52,96,62,1,5,95.72
Andhra Pradesh,Visakhapatnam,73047.25,10000.0,,38917,3,1,6.99,83,60,1,5,99.75
Goa,Panaji,211416.39,10000.0,84049.0,29458,7,0,7.16,110,69,1,4,101.87
Goa,Margao,118148.72,20000.0,70571.0,28002,5,2,5.82,97,71,1,4,106.85
Rajasthan,,89116.43,,77832.0,36155,4,0,6.84,141,55,1,1,101.0
Meghalaya,Nongstoin,184763.46,10000.0,109937.0,26624,7,0,6.97,93,56,1,2,96.75
Chhattisgarh,Bilaspur,168208.5,15000.0,89781.0,36689,6,1,4.9,108,93,0,5,95.73
Mizoram,Serchhip,,15000.0,76073.0,25559,3,1,6.13,147,63,1,4,104.19
Jharkhand,Jamshedpur,87350.01,15000.0,72741.0,25873,3,0,5.92,89,77,1,1,95.89
West Bengal,Siliguri,140625.93,15000.0,66026.0,18762,4,0,5.21,61,44,1,5,107.31
Rajasthan,Jodhpur,89795.65,15000.0,57192.0,20419,6,0,6.53,95,88,0,3,107.22
Nagaland,Kohima,96926.35,,100621.0,29865,3,2,5.39,98,60,1,5,109.9
Gujarat,Surat,155781.04,10000.0,82177.0,26281,7,1,4.57,113,50,0,3,102.21
Assam,Jorhat,101706.42,15000.0,55967.0,32594,7,0,4.61,132,66,1,2,100.35
Madhya Pradesh,Jabalpur,171326.96,15000.0,73119.0,16726,4,3,3.5,95,87,1,1,109.38
Manipur,,224507.18,15000.0,94057.0,18321,6,1,3.8,104,87,1,2,107.03
Punjab,Jalandhar,142572.23,15000.0,68295.0,32604,7,1,4.06,56,64,1,2,98.55
Odisha,Sambalpur,156507.55,20000.0,62782.0,38535,3,1,6.34,112,63,1,5,107.39
Assam,Guwahati,,15000.0,80351.0,36706,7,0,3.97,105,50,1,5,107.88
Bihar,Gaya,,15000.0,84872.0,19036,3,1,4.38,76,83,1,2,107.92
Chhattisgarh,Raipur,209561.76,15000.0,68314.0,38304,6,4,5.4,164,78,1,1,107.48
Andhra Pradesh,Vijayawada,203542.88,15000.0,,18990,4,1,4.84,105,81,1,5,99.51
Bihar,Muzaffarpur,192715.87,15000.0,81908.0,37282,4,0,6.63,96,57,1,3,100.0
Kerala,Thiruvananthapuram,214587.39,15000.0,58127.0,39764,4,0,3.91,87,76,0,2,108.33
West Bengal,Howrah,164028.75,15000.0,66926.0,32230,5,1,7.43,124,59,0,5,98.73
Uttarakhand,Haridwar,120853.53,15000.0,73194.0,15272,4,1,6.8,96,85,1,1,101.33
Telangana,Karimnagar,204728.66,15000.0,86085.0,32332,4,0,5.49,108,54,0,5,96.24
Jharkhand,Ranchi,206642.11,20000.0,68584.0,20209,3,3,4.01,93,60,1,5,106.04
Tamil Nadu,Tiruchirapalli,,15000.0,83449.0,15269,6,0,3.89,99,72,0,4,103.47
Tripura,Dharmanagar,,20000.0,92490.0,36046,6,2,4.14,99,50,1,1,105.28
Rajasthan,Kota,114190.27,20000.0,67403.0,30599,7,0,4.22,97,63,1,5,99.75
Uttar Pradesh,Agra,159568.11,15000.0,123343.0,38816,4,1,6.52,104,53,0,4,105.87
Punjab,Patiala,197111.5,15000.0,96293.0,36694,6,1,7.39,84,61,1,2,103.36
Telangana,Nizamabad,,10000.0,79086.0,24498,6,1,6.52,128,55,0,5,109.67
Tripura,Agartala,128516.19,10000.0,72273.0,24050,6,3,6.57,102,69,1,1,95.06
Madhya Pradesh,,165768.64,15000.0,66670.0,33164,6,3,7.29,120,72,1,3,104.83
Tamil Nadu,Tiruchirapalli,84561.08,20000.0,99919.0,29799,3,1,3.89,110,63,0,2,98.49
Maharashtra,Mumbai,199247.51,10000.0,78157.0,26067,4,0,3.9,72,82,0,4,97.09
Tamil Nadu,Tiruchirapalli,110834.56,20000.0,53417.0,19893,6,0,7.08,138,61,0,1,103.48
Chhattisgarh,Bilaspur,189262.77,15000.0,49318.0,18161,3,0,5.71,106,57,1,5,100.87
Bihar,Gaya,92534.77,20000.0,,19454,5,0,4.49,78,62,1,4,102.71
Maharashtra,Nagpur,201570.8,20000.0,77016.0,31763,7,1,4.3,131,59,1,1,98.84
Jharkhand,Bokaro,166091.76,20000.0,61245.0,33598,3,1,5.93,66,45,0,2,106.58
Mizoram,Lunglei,110932.12,15000.0,,30027,7,0,6.05,132,78,0,3,104.58
Jharkhand,Bokaro,184567.82,20000.0,45553.0,39544,7,1,6.53,97,52,0,2,103.74
Uttar Pradesh,Kanpur,120481.92,15000.0,63610.0,36095,5,2,6.08,117,62,1,3,105.66
Gujarat,Vadodara,187477.75,15000.0,69558.0,31953,5,1,6.38,109,73,1,3,106.38
Meghalaya,Shillong,,10000.0,85376.0,36707,5,1,6.36,73,63,1,5,103.34
Andhra Pradesh,Nellore,63947.64,15000.0,73044.0,23317,3,2,3.71,85,66,1,1,97.04
Mizoram,Lunglei,100879.19,10000.0,90959.0,31728,5,1,6.35,102,60,1,5,98.93
Rajasthan,Jodhpur,128479.26,10000.0,84076.0,19025,6,0,4.14,102,76,1,1,96.55
Himachal Pradesh,Kullu,218409.45,20000.0,82698.0,23958,3,2,5.5,106,70,0,5,97.45
Goa,Vasco da Gama,195057.18,15000.0,89688.0,26689,4,0,4.51,120,49,1,1,96.17
Odisha,Cuttack,,20000.0,54199.0,18048,5,0,6.22,68,80,0,5,102.93
Madhya Pradesh,Jabalpur,232681.76,10000.0,66956.0,17313,3,2,4.71,123,59,0,1,105.62
Assam,Guwahati,123262.46,15000.0,111021.0,28257,5,1,7.15,88,76,0,1,97.19
Gujarat,Vadodara,140575.66,10000.0,46406.0,15029,7,1,3.69,98,67,1,5,95.69
Sikkim,Namchi,129436.0,10000.0,70533.0,34760,6,0,5.39,128,48,1,2,101.83
Himachal Pradesh,Dharamshala,116424.47,10000.0,82142.0,18524,7,3,5.21,88,65,1,5,109.55
Sikkim,Gyalshing,57925.26,15000.0,46845.0,33203,5,1,4.27,127,71,0,1,104.01
Chhattisgarh,Bilaspur,149262.61,10000.0,63709.0,25207,3,2,3.78,76,69,0,1,107.18
Jharkhand,Bokaro,85721.72,15000.0,104939.0,34130,6,3,4.4,122,72,1,2,98.03
Tamil Nadu,,148291.41,15000.0,77556.0,16931,7,3,4.02,102,62,1,2,108.91
Mizoram,Serchhip,255788.54,10000.0,66383.0,26913,6,4,4.24,97,42,0,1,101.53
Kerala,Thrissur,124532.75,15000.0,78157.0,24638,6,3,6.94,99,54,1,1,99.48
Tamil Nadu,Chennai,159738.7,15000.0,66354.0,37874,5,3,6.4,89,75,1,1,102.85
Meghalaya,Tura,195332.42,20000.0,100687.0,27107,6,0,4.07,67,64,0,3,106.96
Assam,Dibrugarh,164014.56,15000.0,60134.0,39129,4,0,7.11,139,76,0,2,106.82
Tripura,Kailashahar,164624.21,,67158.0,36725,4,0,7.05,112,64,1,5,100.75
Sikkim,Namchi,131879.88,20000.0,52616.0,32595,7,1,4.51,81,85,1,2,97.64
Himachal Pradesh,,138406.1,15000.0,70568.0,38976,7,1,3.69,120,64,1,3,97.21
Manipur,Thoubal,101999.47,15000.0,72381.0,26204,3,2,6.27,82,69,0,2,99.06
Chhattisgarh,Durg,192302.25,10000.0,92934.0,35004,5,3,5.83,90,83,0,1,108.93
Tamil Nadu,Coimbatore,62925.42,15000.0,59749.0,24726,7,0,5.0,97,53,0,5,98.2
Madhya Pradesh,Indore,198554.42,15000.0,82254.0,18277,3,0,3.69,138,68,0,1,104.39
Maharashtra,Nashik,,20000.0,76300.0,26634,7,0,4.02,82,58,1,4,98.9
Punjab,Amritsar,198130.36,15000.0,46612.0,17521,3,0,5.9,101,46,0,5,107.51
Manipur,Churachandpur,132309.12,,64120.0,16905,5,1,6.19,98,68,0,5,105.38
Meghalaya,Nongstoin,88406.57,20000.0,63524.0,22559,5,1,4.33,116,73,1,4,107.77
Tamil Nadu,Madurai,178964.93,,100245.0,26742,7,1,5.29,104,55,0,2,101.85
Madhya Pradesh,Indore,196438.38,15000.0,83185.0,27344,4,3,7.0,62,85,1,4,103.62
Mizoram,Champhai,128096.07,10000.0,77170.0,24282,6,0,4.46,84,65,1,2,98.5
Tamil Nadu,Madurai,186030.53,15000.0,10569.0,23219,7,3,7.0,108,64,1,1,96.78
Haryana,Panipat,50000.0,15000.0,46375.0,21797,3,1,4.65,118,63,1,4,108.38
Rajasthan,Jaipur,83970.19,10000.0,85916.0,31010,5,1,6.93,115,64,0,3,99.26
Arunachal Pradesh,Tawang,214620.45,15000.0,,21044,7,1,5.81,94,94,0,5,105.97
Chhattisgarh,Raipur,138816.54,15000.0,63866.0,21375,5,1,6.51,107,71,1,4,98.15
Goa,Margao,56889.33,10000.0,75415.0,39501,7,1,4.86,95,77,1,2,101.11
Kerala,Thrissur,115056.69,15000.0,74351.0,29283,5,1,4.06,92,55,1,2,109.83
Nagaland,Mokokchung,103829.98,20000.0,77541.0,34562,4,1,4.09,126,73,1,4,96.6
Sikkim,Mangan,141701.91,15000.0,,20497,3,3,4.16,116,73,1,5,98.48
Sikkim,Gangtok,131462.45,15000.0,87230.0,35131,7,1,4.3,93,65,1,3,106.01
Andhra Pradesh,Guntur,158946.59,10000.0,91591.0,38942,5,1,7.03,131,49,1,4,96.63
Mizoram,Champhai,146526.7,15000.0,60605.0,22952,7,2,5.46,98,64,0,3,107.71
Karnataka,Bangalore,217986.96,20000.0,57084.0,34326,3,1,4.38,78,53,0,5,95.37
Jharkhand,Ranchi,171227.43,15000.0,63058.0,39367,7,0,6.01,109,67,1,1,102.54
Odisha,Cuttack,172883.58,15000.0,75730.0,23882,6,0,3.83,104,59,0,2,100.65
Maharashtra,Mumbai,208257.86,15000.0,80334.0,28910,5,3,4.24,116,84,1,1,96.93
Uttar Pradesh,Lucknow,130561.56,25000.0,86826.0,37603,3,2,5.71,77,53,1,3,104.66
Jharkhand,Ranchi,86906.13,10000.0,89571.0,25694,4,1,5.44,71,57,1,5,109.47
Manipur,Bishnupur,210348.52,15000.0,80436.0,25584,6,2,4.39,109,52,0,4,103.84
West Bengal,Siliguri,156792.09,10000.0,78443.0,19685,7,3,3.69,70,82,1,3,97.99
Odisha,Cuttack,156967.56,15000.0,99733.0,30929,7,0,5.91,90,57,0,1,96.47
Bihar,Gaya,118333.5,15000.0,,33142,6,1,7.04,77,62,0,5,107.0
Arunachal Pradesh,,119157.23,20000.0,83850.0,25954,4,3,6.58,86,60,1,5,107.71
Himachal Pradesh,Dharamshala,192336.12,15000.0,79803.0,37986,4,1,4.31,108,74,1,2,104.16
Jharkhand,Dhanbad,199232.79,15000.0,72402.0,32770,7,2,6.29,120,82,1,2,95.12
West Bengal,Kolkata,189191.17,20000.0,72501.0,25178,7,1,4.43,61,78,0,3,96.47
Karnataka,Bangalore,189648.08,15000.0,94829.0,21722,4,1,6.56,109,61,1,2,105.37
Maharashtra,Mumbai,178451.48,15000.0,73646.0,16661,4,1,6.52,76,47,0,5,99.46
Gujarat,Surat,,15000.0,69709.0,19916,4,1,4.38,65,49,1,3,99.16
Tamil Nadu,Madurai,141231.02,15000.0,63944.0,36416,7,2,3.58,96,67,1,1,100.64
Manipur,Bishnupur,210516.19,10000.0,81338.0,22312,5,0,5.59,117,53,1,2,107.0
Sikkim,Namchi,131313.96,15000.0,67317.0,21512,6,2,6.02,114,64,1,5,106.83
Odisha,Rourkela,,15000.0,79976.0,30787,4,0,4.59,114,52,0,2,98.93
Sikkim,Mangan,109799.35,10000.0,77665.0,22110,7,1,5.17,110,77,1,4,106.35
Manipur,Thoubal,117035.05,,68589.0,27540,3,1,5.34,123,49,1,4,99.08
West Bengal,,138192.27,15000.0,54066.0,28247,7,1,6.41,122,58,1,5,97.64
Telangana,Nizamabad,109803.08,20000.0,59561.0,20246,5,0,4.28,141,47,0,3,108.65
Haryana,Faridabad,189892.59,10000.0,61921.0,36376,5,1,3.87,70,53,1,5,101.44
Karnataka,Mysore,82598.29,20000.0,59939.0,39927,4,1,4.58,104,75,1,3,104.4
Himachal Pradesh,,154961.48,15000.0,81829.0,31357,6,4,5.49,139,69,1,4,97.29
Manipur,Bishnupur,156625.4,20000.0,106937.0,21264,7,0,4.06,114,67,0,1,96.57
Andhra Pradesh,Vijayawada,59460.02,15000.0,67335.0,15373,6,0,4.42,106,55,1,3,106.19
Andhra Pradesh,Nellore,127948.81,15000.0,69235.0,21484,3,1,5.48,67,52,1,5,106.31
Odisha,Sambalpur,162784.98,15000.0,66231.0,21174,6,2,6.39,59,51,0,3,104.94
Assam,Dibrugarh,171436.4,15000.0,87865.0,22720,6,1,3.61,85,71,0,5,101.71
Jharkhand,Ranchi,139784.64,20000.0,81395.0,33400,4,2,5.78,121,66,1,2,107.93
Haryana,Gurgaon,183844.41,10000.0,74750.0,31587,3,2,5.04,96,65,1,5,95.9
Manipur,Churachandpur,144534.19,20000.0,56803.0,20491,5,5,5.75,86,89,0,2,106.99
Jharkhand,Ranchi,150682.65,20000.0,60483.0,27699,6,3,6.06,63,53,1,2,99.17
Andhra Pradesh,Nellore,162582.69,15000.0,77629.0,21704,3,1,3.65,102,71,1,1,108.58
Nagaland,Mokokchung,196349.98,10000.0,78349.0,17649,3,3,5.65,108,51,1,4,98.04
Arunachal Pradesh,Itanagar,116214.1,20000.0,74758.0,34122,5,2,7.28,139,69,1,3,96.83
Odisha,Sambalpur,125658.91,15000.0,84973.0,23537,4,1,5.19,82,89,1,4,99.56
Madhya Pradesh,Gwalior,116555.18,20000.0,56661.0,28508,3,1,7.15,89,65,1,5,99.82
Sikkim,Gyalshing,,20000.0,79553.0,23938,5,1,7.39,71,83,1,4,104.86
Andhra Pradesh,Visakhapatnam,,10000.0,78719.0,30948,7,0,5.98,79,53,1,4,97.32
Arunachal Pradesh,,178636.27,15000.0,60630.0,18858,3,0,5.57,117,66,0,4,99.54
Meghalaya,Tura,93445.51,15000.0,65926.0,21917,7,2,6.59,91,76,0,3,104.08
Manipur,,119977.65,20000.0,85396.0,17169,7,2,6.66,146,74,1,5,99.28
Madhya Pradesh,Gwalior,168638.36,10000.0,57921.0,22724,3,0,5.99,77,71,1,1,100.95
Meghalaya,Tura,104674.61,10000.0,111956.0,36445,5,4,3.5,126,40,1,2,96.97
Mizoram,Aizawl,113733.0,20000.0,83336.0,19111,7,1,6.11,141,76,1,5,96.67
Rajasthan,Jaipur,217247.98,10000.0,74139.0,37876,4,0,7.02,102,78,1,1,106.12
Gujarat,Surat,119331.22,15000.0,71217.0,17207,6,0,3.77,113,67,1,1,96.0
Telangana,Warangal,197733.34,15000.0,86823.0,28596,7,0,4.7,110,81,1,1,109.48
Uttar Pradesh,Kanpur,212766.16,20000.0,,36584,7,2,6.93,102,56,0,3,105.65
Mizoram,Lunglei,113326.9,15000.0,69445.0,30215,6,2,6.0,76,80,0,1,106.77
Gujarat,Surat,105501.87,15000.0,96788.0,17428,5,1,3.96,116,60,1,1,102.28
Madhya Pradesh,Indore,136193.4,,67926.0,29148,4,1,5.89,101,64,0,5,98.3
Chhattisgarh,Raipur,95568.61,10000.0,77041.0,30644,4,0,5.97,124,57,1,1,109.02
Uttar Pradesh,Agra,,20000.0,63596.0,19956,7,2,3.94,133,50,1,2,109.66
Mizoram,Champhai,139717.4,15000.0,78885.0,26753,3,2,4.19,75,60,1,5,109.58
Assam,Guwahati,168029.0,15000.0,83709.0,35866,3,0,5.83,108,60,1,4,100.16
Gujarat,Vadodara,219847.17,15000.0,100243.0,16458,7,3,5.15,139,66,1,2,100.5
Uttar Pradesh,Varanasi,190874.25,15000.0,60939.0,32451,3,3,4.42,84,57,1,1,99.91
Mizoram,,174461.99,20000.0,53281.0,34224,4,0,6.01,104,67,1,1,97.03
Gujarat,Ahmedabad,51697.58,15000.0,70998.0,34962,4,3,3.94,106,66,1,5,104.13
Rajasthan,Jodhpur,172168.8,15000.0,65743.0,32045,6,1,3.95,119,74,1,4,106.48
Andhra Pradesh,Nellore,236131.38,15000.0,74768.0,31458,4,2,3.54,105,79,0,1,108.01
Mizoram,Champhai,50000.0,10000.0,82829.0,30367,5,2,6.12,105,68,0,4,101.77
Mizoram,,184469.13,10000.0,108975.0,32844,4,3,7.23,77,66,1,3,95.77
Karnataka,Mangalore,142032.07,10000.0,68227.0,26714,7,2,3.58,119,74,0,2,100.36
Tripura,Udaipur,107510.25,10000.0,41843.0,17842,3,3,5.11,85,70,1,2,97.39
Uttarakhand,Almora,190056.43,10000.0,71430.0,35106,3,2,4.2,122,72,1,2,103.15
Assam,Dibrugarh,235485.3,15000.0,80257.0,37170,4,0,6.08,125,59,1,5,105.31
Manipur,Churachandpur,188761.54,15000.0,60455.0,32030,4,1,5.29,75,54,1,2,100.89
Rajasthan,Jaipur,131440.4,15000.0,78505.0,38386,3,1,5.86,97,81,0,1,107.64
Karnataka,,102826.51,10000.0,77062.0,35974,3,0,6.86,117,59,1,4,106.1
Uttar Pradesh,Lucknow,157231.38,25000.0,78897.0,20578,4,1,5.78,70,75,1,3,99.64
West Bengal,Howrah,193658.46,20000.0,86869.0,23920,5,0,5.64,106,60,1,1,95.95
Meghalaya,,,,73759.0,34622,5,0,4.07,75,43,1,3,100.53
Tripura,Agartala,135480.85,15000.0,83213.0,18378,3,0,5.35,121,62,0,1,105.62
Sikkim,Namchi,291100.01,15000.0,48015.0,21420,6,0,6.01,125,61,1,5,107.93
West Bengal,Siliguri,203932.6,10000.0,60564.0,34545,5,0,6.33,98,68,1,3,103.74
Himachal Pradesh,Manali,,20000.0,69876.0,29328,7,0,3.83,97,61,1,4,99.33
Telangana,Hyderabad,76985.7,10000.0,59923.0,26482,3,4,6.24,62,65,1,5,98.62
Telangana,Hyderabad,114640.57,15000.0,75098.0,36944,5,1,4.28,122,71,0,2,96.1
Andhra Pradesh,Guntur,153734.08,15000.0,69843.0,19786,4,3,6.14,110,79,0,5,96.94
Tripura,Dharmanagar,99943.12,15000.0,68172.0,18700,6,1,4.62,110,59,1,4,108.51
Sikkim,Namchi,230019.86,15000.0,88257.0,35240,4,0,5.86,98,72,1,3,96.87
Meghalaya,Nongstoin,220515.62,10000.0,76257.0,37430,4,0,4.12,104,58,1,5,102.17
Himachal Pradesh,Kullu,123322.73,15000.0,58744.0,33829,6,0,7.34,93,74,0,2,95.92
Odisha,Rourkela,239195.93,20000.0,65950.0,30830,3,1,6.3,73,70,1,4,95.98
Kerala,Thiruvananthapuram,,20000.0,86298.0,16921,4,2,4.52,137,63,1,2,101.05
Odisha,Cuttack,279469.49,15000.0,77995.0,19057,3,0,6.83,82,79,0,4,96.34
Sikkim,Gyalshing,157234.31,15000.0,92939.0,30769,3,3,7.33,70,37,0,1,108.31
Himachal Pradesh,Manali,178809.64,10000.0,87698.0,34349,3,3,5.67,120,59,1,1,96.29
Gujarat,,,10000.0,69163.0,17331,4,0,4.9,95,44,1,3,106.06
Maharashtra,Mumbai,213881.67,10000.0,96532.0,21021,3,1,4.26,86,45,1,1,107.66
Odisha,Sambalpur,175536.6,15000.0,97767.0,27271,4,1,5.97,80,68,1,2,101.11
Odisha,Cuttack,142942.98,15000.0,48218.0,20778,3,1,4.5,118,53,1,1,96.37
Arunachal Pradesh,Itanagar,175706.63,15000.0,75476.0,38572,7,2,7.05,39,73,0,4,96.59
Himachal Pradesh,Kullu,,10000.0,66752.0,34369,4,1,4.59,113,75,1,5,109.19
Madhya Pradesh,Jabalpur,157606.69,15000.0,71092.0,19574,7,2,3.92,95,73,1,5,104.32
Manipur,Bishnupur,94534.62,10000.0,62757.0,39922,3,1,7.46,118,48,1,1,96.04
Assam,Silchar,60955.92,15000.0,,26214,4,1,5.05,121,65,1,4,104.2
Karnataka,Mysore,152521.34,10000.0,88517.0,30230,6,0,6.12,130,64,1,2,95.94
Rajasthan,,213113.89,15000.0,57479.0,39747,7,1,4.56,140,67,1,4,102.24
Maharashtra,Mumbai,196290.23,15000.0,76400.0,31248,5,1,4.5,65,76,1,3,108.28
Tripura,Agartala,145904.39,10000.0,54762.0,38345,5,1,5.22,60,68,1,2,102.68
Haryana,Gurgaon,237349.48,10000.0,94041.0,29160,6,0,6.89,102,48,1,2,100.38
Nagaland,Dimapur,121546.93,15000.0,75450.0,15978,6,2,5.75,112,64,1,2,98.35
Odisha,Cuttack,54108.37,10000.0,86179.0,31927,5,1,5.6,93,68,0,2,100.24
Meghalaya,Nongstoin,50000.0,15000.0,,23393,4,0,5.04,47,67,0,2,108.34
Arunachal Pradesh,Itanagar,90940.45,15000.0,71201.0,31295,3,0,4.49,95,62,1,4,99.57
Haryana,Ambala,190831.24,15000.0,76025.0,26972,4,3,6.54,111,75,1,5,100.49
Sikkim,,118259.87,15000.0,,21860,5,0,3.56,78,69,0,3,106.89
Goa,,173047.93,20000.0,,18956,7,1,7.25,94,59,1,4,95.65
Kerala,Thiruvananthapuram,232314.17,15000.0,36759.0,35224,7,2,6.58,85,42,1,4,103.92
Manipur,Bishnupur,94995.15,,63197.0,29087,3,1,4.78,67,66,1,3,95.46
Tripura,Dharmanagar,173924.99,10000.0,56863.0,20513,3,0,6.85,77,66,1,2,95.04
Haryana,Gurgaon,176948.15,15000.0,89520.0,30323,5,1,4.86,103,75,1,3,100.33
Bihar,Gaya,106963.1,15000.0,72364.0,32988,5,1,4.77,114,50,1,1,97.81
Manipur,Thoubal,217710.55,20000.0,87411.0,19977,3,0,4.73,98,52,1,2,96.32
West Bengal,Durgapur,135614.65,10000.0,75478.0,18777,7,1,5.11,84,75,1,1,106.47
Punjab,Amritsar,130812.35,10000.0,75130.0,37773,6,0,6.81,100,68,0,5,105.38
Tripura,Udaipur,255580.66,10000.0,77459.0,38976,6,1,4.54,111,65,0,2,108.07
Mizoram,Champhai,176138.34,20000.0,97200.0,38855,6,1,5.98,88,55,1,3,98.33
Madhya Pradesh,Bhopal,,15000.0,,17163,7,1,4.16,116,68,1,1,102.21
Nagaland,Kohima,217744.65,20000.0,91637.0,16140,4,0,7.46,90,80,0,4,109.82
Arunachal Pradesh,Tawang,117476.3,10000.0,90677.0,24040,4,1,4.39,110,54,1,1,102.18
Madhya Pradesh,Gwalior,212491.05,10000.0,72550.0,20551,7,2,6.83,64,53,1,4,102.65
Madhya Pradesh,Jabalpur,124905.29,10000.0,73890.0,37652,4,1,4.44,135,37,0,1,96.16
Sikkim,Gyalshing,122768.83,15000.0,69332.0,23224,6,1,5.29,119,68,1,3,107.23
Manipur,Imphal,136400.0,20000.0,,35952,7,1,4.54,87,62,0,4,102.02
Punjab,Patiala,118896.76,15000.0,60884.0,16988,3,4,6.45,112,58,0,5,99.65
Uttarakhand,Haridwar,191107.82,20000.0,64155.0,21747,7,3,6.15,113,76,1,2,105.49
Jharkhand,Bokaro,163360.53,10000.0,70856.0,32842,5,0,3.97,69,67,1,1,103.17
Assam,Jorhat,125438.78,15000.0,57777.0,33111,6,0,6.71,109,54,0,5,109.66
Odisha,Bhubaneswar,183725.25,15000.0,66130.0,21993,6,0,7.1,73,57,1,3,101.98
Assam,Dibrugarh,136240.88,10000.0,92040.0,39598,5,0,3.76,104,57,1,3,108.68
Sikkim,Gyalshing,133596.48,10000.0,84771.0,32489,6,2,3.89,73,47,1,1,102.36
Maharashtra,Nashik,,15000.0,68688.0,37730,5,1,3.74,59,76,1,1,101.85
Haryana,Panipat,173173.02,10000.0,87042.0,22274,5,2,4.54,83,67,1,1,95.94
Uttarakhand,Nainital,169492.38,20000.0,106228.0,18145,6,0,7.25,87,69,1,4,108.11
Tamil Nadu,Coimbatore,131837.54,,79696.0,21025,7,1,4.26,116,57,1,1,108.62
Bihar,Bhagalpur,192355.56,15000.0,96305.0,20475,5,0,7.35,73,71,0,3,95.01
Uttarakhand,Dehradun,138880.29,15000.0,87773.0,33632,3,0,4.71,95,76,0,4,95.89
West Bengal,Kolkata,117250.78,10000.0,70583.0,24577,5,0,6.6,91,66,1,4,100.43
Punjab,Jalandhar,76598.92,10000.0,77959.0,39140,3,1,5.87,128,71,0,5,98.26
Karnataka,Bangalore,199158.92,20000.0,82894.0,34926,7,1,4.39,77,55,1,1,100.01
Uttar Pradesh,Agra,150619.5,20000.0,63825.0,35864,5,0,6.95,106,86,1,1,98.0
Karnataka,Mysore,160543.62,15000.0,35861.0,36391,5,1,3.68,121,71,0,2,106.07
Uttarakhand,Haridwar,,15000.0,62488.0,24234,5,0,3.54,93,81,0,1,95.07
Karnataka,Mangalore,126129.69,15000.0,42627.0,24035,3,1,5.24,108,70,1,4,107.93
Arunachal Pradesh,Ziro,,10000.0,63728.0,32542,7,1,5.18,88,61,0,5,97.67
Mizoram,Serchhip,153489.04,15000.0,49388.0,29590,6,2,6.13,104,61,1,4,103.51
Himachal Pradesh,Manali,165398.08,15000.0,88201.0,16357,4,0,3.63,126,61,1,2,104.43
West Bengal,Howrah,136857.55,20000.0,57261.0,21688,5,1,6.23,128,64,0,4,99.78
West Bengal,Howrah,223686.88,15000.0,83161.0,27293,5,1,5.68,107,67,1,1,103.18
Arunachal Pradesh,Itanagar,50000.0,10000.0,86499.0,34589,5,1,4.81,85,70,1,1,102.93
Telangana,Nizamabad,206002.83,10000.0,85522.0,21365,6,2,5.41,88,65,0,5,96.6
Manipur,Imphal,189557.68,15000.0,46974.0,26531,7,1,3.76,98,49,0,4,101.58
Meghalaya,Tura,,15000.0,91839.0,28169,3,0,5.28,134,50,1,2,107.53
Tripura,Dharmanagar,50000.0,15000.0,81305.0,25954,6,1,5.69,93,66,1,1,109.23
Bihar,Muzaffarpur,214194.44,15000.0,87063.0,18203,7,2,6.08,107,58,0,4,96.11
Haryana,Gurgaon,98678.29,15000.0,102448.0,21092,4,1,3.54,139,84,1,3,98.15
